Time_Between_Messages,Loss_Probability,Corruption_Probability,Window_Size,Protocol_Type,Number_Of_Events,Nanoseconds
10,0.0,0.0,1,0,419,35465000
10,0.1,0.0,1,0,757,35715000
10,0.2,0.0,1,0,936,34702000
10,0.3,0.0,1,0,1611,36731000
10,0.4,0.0,1,0,1503,35886000
10,0.5,0.0,1,0,4245,33856000
10,0.6,0.0,1,0,7776,38935000
10,0.7,0.0,1,0,13804,46256000
10,0.8,0.0,1,0,24435,56837000
10,0.9,0.0,1,0,102966,55341000
10,0.0,0.1,1,0,565,50221000
10,0.1,0.1,1,0,907,35286000
10,0.2,0.1,1,0,1631,36355000
10,0.3,0.1,1,0,2851,38241000
10,0.4,0.1,1,0,3938,38098000
10,0.5,0.1,1,0,4307,75848000
10,0.6,0.1,1,0,7955,38555000
10,0.7,0.1,1,0,20545,42518000
10,0.8,0.1,1,0,44757,45263000
10,0.9,0.1,1,0,138977,58883000
10,0.0,0.2,1,0,1406,37050000
10,0.1,0.2,1,0,1418,36106000
10,0.2,0.2,1,0,1565,34712000
10,0.3,0.2,1,0,3620,52829000
10,0.4,0.2,1,0,3176,36080000
10,0.5,0.2,1,0,5773,36283000
10,0.6,0.2,1,0,11604,37499000
10,0.7,0.2,1,0,19485,55964000
10,0.8,0.2,1,0,58015,46598000
10,0.9,0.2,1,0,220478,94116000
10,0.0,0.3,1,0,1761,49771000
10,0.1,0.3,1,0,1900,39247000
10,0.2,0.3,1,0,3091,37597000
10,0.3,0.3,1,0,3787,34963000
10,0.4,0.3,1,0,6221,37039000
10,0.5,0.3,1,0,7453,39134000
10,0.6,0.3,1,0,20682,42586000
10,0.7,0.3,1,0,25565,40201000
10,0.8,0.3,1,0,63940,43631000
10,0.9,0.3,1,0,282747,76879000
10,0.0,0.4,1,0,1788,46424000
10,0.1,0.4,1,0,3034,35325000
10,0.2,0.4,1,0,3549,33905000
10,0.3,0.4,1,0,6122,32822000
10,0.4,0.4,1,0,8050,38947000
10,0.5,0.4,1,0,11010,36207000
10,0.6,0.4,1,0,20475,38602000
10,0.7,0.4,1,0,42073,53500000
10,0.8,0.4,1,0,118274,51796000
10,0.9,0.4,1,0,260570,68027000
10,0.0,0.5,1,0,3949,33804000
10,0.1,0.5,1,0,5515,33727000
10,0.2,0.5,1,0,6762,37820000
10,0.3,0.5,1,0,9568,38582000
10,0.4,0.5,1,0,11507,33969000
10,0.5,0.5,1,0,13576,34647000
10,0.6,0.5,1,0,30867,48342000
10,0.7,0.5,1,0,39872,43786000
10,0.8,0.5,1,0,149580,56179000
10,0.9,0.5,1,0,432706,102953000
10,0.0,0.6,1,0,8435,38206000
10,0.1,0.6,1,0,8371,34598000
10,0.2,0.6,1,0,8694,36612000
10,0.3,0.6,1,0,11864,36636000
10,0.4,0.6,1,0,28814,39390000
10,0.5,0.6,1,0,30369,37229000
10,0.6,0.6,1,0,54079,45656000
10,0.7,0.6,1,0,125137,56544000
10,0.8,0.6,1,0,234500,68900000
10,0.9,0.6,1,0,812295,103102000
10,0.0,0.7,1,0,12142,40425000
10,0.1,0.7,1,0,16056,37213000
10,0.2,0.7,1,0,26991,42523000
10,0.3,0.7,1,0,27672,46986000
10,0.4,0.7,1,0,36748,46030000
10,0.5,0.7,1,0,61512,51337000
10,0.6,0.7,1,0,86643,50690000
10,0.7,0.7,1,0,106260,51554000
10,0.8,0.7,1,0,418907,103447000
10,0.9,0.7,1,0,1467398,117890000
10,0.0,0.8,1,0,31743,43296000
10,0.1,0.8,1,0,33590,42122000
10,0.2,0.8,1,0,41733,42293000
10,0.3,0.8,1,0,63152,49377000
10,0.4,0.8,1,0,96501,61262000
10,0.5,0.8,1,0,102513,55517000
10,0.6,0.8,1,0,261149,85891000
10,0.7,0.8,1,0,372142,91277000
10,0.8,0.8,1,0,852267,105735000
10,0.9,0.8,1,0,3590650,170234000
10,0.0,0.9,1,0,97378,86667000
10,0.1,0.9,1,0,124208,66036000
10,0.2,0.9,1,0,248737,90466000
10,0.3,0.9,1,0,246131,92142000
10,0.4,0.9,1,0,328352,111048000
10,0.5,0.9,1,0,410614,107736000
10,0.6,0.9,1,0,784114,142830000
10,0.7,0.9,1,0,1416392,143804000
10,0.8,0.9,1,0,2644452,163361000
10,0.9,0.9,1,0,11941912,270806000
10,0.0,0.0,2,0,374,29831000
10,0.1,0.0,2,0,668,31617000
10,0.2,0.0,2,0,683,29555000
10,0.3,0.0,2,0,999,29472000
10,0.4,0.0,2,0,1262,31976000
10,0.5,0.0,2,0,2088,30118000
10,0.6,0.0,2,0,2975,30832000
10,0.7,0.0,2,0,5803,31327000
10,0.8,0.0,2,0,13304,43395000
10,0.9,0.0,2,0,42645,41880000
10,0.0,0.1,2,0,489,39314000
10,0.1,0.1,2,0,738,37926000
10,0.2,0.1,2,0,731,35576000
10,0.3,0.1,2,0,1078,54527000
10,0.4,0.1,2,0,2213,37698000
10,0.5,0.1,2,0,2092,38061000
10,0.6,0.1,2,0,3398,35750000
10,0.7,0.1,2,0,7437,41586000
10,0.8,0.1,2,0,17810,40000000
10,0.9,0.1,2,0,72751,56226000
10,0.0,0.2,2,0,634,46501000
10,0.1,0.2,2,0,922,37835000
10,0.2,0.2,2,0,1220,38947000
10,0.3,0.2,2,0,1443,37190000
10,0.4,0.2,2,0,2605,39510000
10,0.5,0.2,2,0,4460,41215000
10,0.6,0.2,2,0,7930,41756000
10,0.7,0.2,2,0,10594,39520000
10,0.8,0.2,2,0,15088,43872000
10,0.9,0.2,2,0,56117,51337000
10,0.0,0.3,2,0,1164,40597000
10,0.1,0.3,2,0,1510,36464000
10,0.2,0.3,2,0,1542,38078000
10,0.3,0.3,2,0,2146,40364000
10,0.4,0.3,2,0,4384,39397000
10,0.5,0.3,2,0,5227,43148000
10,0.6,0.3,2,0,5819,43004000
10,0.7,0.3,2,0,14943,46619000
10,0.8,0.3,2,0,35996,52714000
10,0.9,0.3,2,0,71669,58669000
10,0.0,0.4,2,0,1795,40846000
10,0.1,0.4,2,0,1707,40153000
10,0.2,0.4,2,0,2154,35536000
10,0.3,0.4,2,0,3283,38954000
10,0.4,0.4,2,0,5351,42821000
10,0.5,0.4,2,0,3653,43416000
10,0.6,0.4,2,0,13583,44066000
10,0.7,0.4,2,0,14429,41916000
10,0.8,0.4,2,0,43992,51770000
10,0.9,0.4,2,0,92471,59342000
10,0.0,0.5,2,0,1777,38714000
10,0.1,0.5,2,0,2761,44041000
10,0.2,0.5,2,0,2872,40742000
10,0.3,0.5,2,0,4162,40321000
10,0.4,0.5,2,0,5444,38193000
10,0.5,0.5,2,0,7994,39330000
10,0.6,0.5,2,0,9138,44023000
10,0.7,0.5,2,0,20332,46625000
10,0.8,0.5,2,0,55062,53671000
10,0.9,0.5,2,0,234102,78493000
10,0.0,0.6,2,0,4008,55350000
10,0.1,0.6,2,0,5018,41196000
10,0.2,0.6,2,0,6864,42036000
10,0.3,0.6,2,0,6466,39573000
10,0.4,0.6,2,0,15060,46191000
10,0.5,0.6,2,0,9490,42841000
10,0.6,0.6,2,0,31122,47712000
10,0.7,0.6,2,0,40258,48547000
10,0.8,0.6,2,0,47193,52790000
10,0.9,0.6,2,0,415399,101004000
10,0.0,0.7,2,0,5268,39855000
10,0.1,0.7,2,0,7334,43536000
10,0.2,0.7,2,0,5155,44277000
10,0.3,0.7,2,0,15123,43945000
10,0.4,0.7,2,0,12914,41824000
10,0.5,0.7,2,0,20272,53159000
10,0.6,0.7,2,0,48168,57156000
10,0.7,0.7,2,0,70561,59775000
10,0.8,0.7,2,0,126755,76393000
10,0.9,0.7,2,0,272617,94821000
10,0.0,0.8,2,0,14586,53229000
10,0.1,0.8,2,0,17043,53323000
10,0.2,0.8,2,0,16499,56891000
10,0.3,0.8,2,0,37008,59478000
10,0.4,0.8,2,0,46892,57647000
10,0.5,0.8,2,0,73416,65578000
10,0.6,0.8,2,0,78919,62960000
10,0.7,0.8,2,0,169778,78111000
10,0.8,0.8,2,0,355452,106810000
10,0.9,0.8,2,0,911538,122543000
10,0.0,0.9,2,0,65127,71329000
10,0.1,0.9,2,0,57702,59922000
10,0.2,0.9,2,0,75173,71448000
10,0.3,0.9,2,0,70408,63326000
10,0.4,0.9,2,0,122270,77137000
10,0.5,0.9,2,0,193702,92003000
10,0.6,0.9,2,0,174317,86210000
10,0.7,0.9,2,0,868724,164625000
10,0.8,0.9,2,0,985252,140850000
10,0.9,0.9,2,0,4063345,216735000
10,0.0,0.0,3,0,389,39110000
10,0.1,0.0,3,0,613,38019000
10,0.2,0.0,3,0,1087,41432000
10,0.3,0.0,3,0,1066,41914000
10,0.4,0.0,3,0,1145,35503000
10,0.5,0.0,3,0,2213,38036000
10,0.6,0.0,3,0,1445,36914000
10,0.7,0.0,3,0,3452,41020000
10,0.8,0.0,3,0,11966,38882000
10,0.9,0.0,3,0,28557,44396000
10,0.0,0.1,3,0,523,37678000
10,0.1,0.1,3,0,1062,41366000
10,0.2,0.1,3,0,1117,47201000
10,0.3,0.1,3,0,1370,39448000
10,0.4,0.1,3,0,2039,37840000
10,0.5,0.1,3,0,2014,37161000
10,0.6,0.1,3,0,2721,39375000
10,0.7,0.1,3,0,4924,42490000
10,0.8,0.1,3,0,8329,44464000
10,0.9,0.1,3,0,65820,53234000
10,0.0,0.2,3,0,1019,38230000
10,0.1,0.2,3,0,1330,39134000
10,0.2,0.2,3,0,1556,38984000
10,0.3,0.2,3,0,1486,40314000
10,0.4,0.2,3,0,2268,43129000
10,0.5,0.2,3,0,1704,39562000
10,0.6,0.2,3,0,3309,37439000
10,0.7,0.2,3,0,6785,39239000
10,0.8,0.2,3,0,12521,38228000
10,0.9,0.2,3,0,65189,51155000
10,0.0,0.3,3,0,1316,38354000
10,0.1,0.3,3,0,1140,37613000
10,0.2,0.3,3,0,1890,38329000
10,0.3,0.3,3,0,1868,36624000
10,0.4,0.3,3,0,2076,40329000
10,0.5,0.3,3,0,1579,40619000
10,0.6,0.3,3,0,6414,40470000
10,0.7,0.3,3,0,10487,41095000
10,0.8,0.3,3,0,14819,43907000
10,0.9,0.3,3,0,90944,57285000
10,0.0,0.4,3,0,1728,37783000
10,0.1,0.4,3,0,1558,38646000
10,0.2,0.4,3,0,1834,39311000
10,0.3,0.4,3,0,2308,40882000
10,0.4,0.4,3,0,3943,37206000
10,0.5,0.4,3,0,5082,38587000
10,0.6,0.4,3,0,6517,40370000
10,0.7,0.4,3,0,8960,40047000
10,0.8,0.4,3,0,21418,45008000
10,0.9,0.4,3,0,58307,53536000
10,0.0,0.5,3,0,2158,39102000
10,0.1,0.5,3,0,1919,37995000
10,0.2,0.5,3,0,2165,37392000
10,0.3,0.5,3,0,2987,45027000
10,0.4,0.5,3,0,2935,39968000
10,0.5,0.5,3,0,6971,38748000
10,0.6,0.5,3,0,10506,38404000
10,0.7,0.5,3,0,12491,41758000
10,0.8,0.5,3,0,33309,46876000
10,0.9,0.5,3,0,155085,66801000
10,0.0,0.6,3,0,4093,42402000
10,0.1,0.6,3,0,2497,40910000
10,0.2,0.6,3,0,3479,37472000
10,0.3,0.6,3,0,4499,46914000
10,0.4,0.6,3,0,10973,46759000
10,0.5,0.6,3,0,13252,55704000
10,0.6,0.6,3,0,10067,42639000
10,0.7,0.6,3,0,23869,44102000
10,0.8,0.6,3,0,50181,52251000
10,0.9,0.6,3,0,155940,70739000
10,0.0,0.7,3,0,3490,40870000
10,0.1,0.7,3,0,4332,39823000
10,0.2,0.7,3,0,6261,40196000
10,0.3,0.7,3,0,11910,42811000
10,0.4,0.7,3,0,10019,43272000
10,0.5,0.7,3,0,16345,46353000
10,0.6,0.7,3,0,32208,50678000
10,0.7,0.7,3,0,31227,48925000
10,0.8,0.7,3,0,81969,60910000
10,0.9,0.7,3,0,413283,100786000
10,0.0,0.8,3,0,8080,41182000
10,0.1,0.8,3,0,7119,43968000
10,0.2,0.8,3,0,17408,50391000
10,0.3,0.8,3,0,31701,52173000
10,0.4,0.8,3,0,30847,50564000
10,0.5,0.8,3,0,20480,48366000
10,0.6,0.8,3,0,39040,57905000
10,0.7,0.8,3,0,122549,85365000
10,0.8,0.8,3,0,95152,61316000
10,0.9,0.8,3,0,643569,110850000
10,0.0,0.9,3,0,25850,53008000
10,0.1,0.9,3,0,37953,52300000
10,0.2,0.9,3,0,61465,56678000
10,0.3,0.9,3,0,59908,61901000
10,0.4,0.9,3,0,76238,64277000
10,0.5,0.9,3,0,132381,79817000
10,0.6,0.9,3,0,190795,88089000
10,0.7,0.9,3,0,262973,98745000
10,0.8,0.9,3,0,523916,119906000
10,0.9,0.9,3,0,2584664,182443000
10,0.0,0.0,4,0,496,41048000
10,0.1,0.0,4,0,472,38905000
10,0.2,0.0,4,0,1364,37420000
10,0.3,0.0,4,0,735,36297000
10,0.4,0.0,4,0,1014,45748000
10,0.5,0.0,4,0,1567,39780000
10,0.6,0.0,4,0,2750,41808000
10,0.7,0.0,4,0,3721,46958000
10,0.8,0.0,4,0,5822,41166000
10,0.9,0.0,4,0,31722,46313000
10,0.0,0.1,4,0,1016,45469000
10,0.1,0.1,4,0,755,36438000
10,0.2,0.1,4,0,980,37229000
10,0.3,0.1,4,0,983,37472000
10,0.4,0.1,4,0,2097,38498000
10,0.5,0.1,4,0,2631,40225000
10,0.6,0.1,4,0,3458,46018000
10,0.7,0.1,4,0,4163,46231000
10,0.8,0.1,4,0,17848,42586000
10,0.9,0.1,4,0,23005,43703000
10,0.0,0.2,4,0,866,39337000
10,0.1,0.2,4,0,1715,41585000
10,0.2,0.2,4,0,1676,46792000
10,0.3,0.2,4,0,1076,38737000
10,0.4,0.2,4,0,2599,40629000
10,0.5,0.2,4,0,2207,43602000
10,0.6,0.2,4,0,4365,42736000
10,0.7,0.2,4,0,6798,40619000
10,0.8,0.2,4,0,8807,38963000
10,0.9,0.2,4,0,75689,55817000
10,0.0,0.3,4,0,1203,44338000
10,0.1,0.3,4,0,1557,35679000
10,0.2,0.3,4,0,2157,39997000
10,0.3,0.3,4,0,1945,39930000
10,0.4,0.3,4,0,1716,38465000
10,0.5,0.3,4,0,3594,38704000
10,0.6,0.3,4,0,6852,42034000
10,0.7,0.3,4,0,6070,42156000
10,0.8,0.3,4,0,42085,46193000
10,0.9,0.3,4,0,46737,52117000
10,0.0,0.4,4,0,2114,36875000
10,0.1,0.4,4,0,1585,38314000
10,0.2,0.4,4,0,1863,42380000
10,0.3,0.4,4,0,2066,38485000
10,0.4,0.4,4,0,2733,43871000
10,0.5,0.4,4,0,4144,40514000
10,0.6,0.4,4,0,8084,38661000
10,0.7,0.4,4,0,4901,39729000
10,0.8,0.4,4,0,18378,43872000
10,0.9,0.4,4,0,42766,50268000
10,0.0,0.5,4,0,2218,38508000
10,0.1,0.5,4,0,1850,40275000
10,0.2,0.5,4,0,2756,39193000
10,0.3,0.5,4,0,6406,41417000
10,0.4,0.5,4,0,1632,35485000
10,0.5,0.5,4,0,5102,39339000
10,0.6,0.5,4,0,11088,41414000
10,0.7,0.5,4,0,22405,44004000
10,0.8,0.5,4,0,31771,45530000
10,0.9,0.5,4,0,92277,59392000
10,0.0,0.6,4,0,1048,38710000
10,0.1,0.6,4,0,3450,38574000
10,0.2,0.6,4,0,2306,36358000
10,0.3,0.6,4,0,3546,41186000
10,0.4,0.6,4,0,2482,41731000
10,0.5,0.6,4,0,5755,49174000
10,0.6,0.6,4,0,6007,44903000
10,0.7,0.6,4,0,18272,54756000
10,0.8,0.6,4,0,39541,62784000
10,0.9,0.6,4,0,223912,76288000
10,0.0,0.7,4,0,6073,46601000
10,0.1,0.7,4,0,5029,44713000
10,0.2,0.7,4,0,4976,46749000
10,0.3,0.7,4,0,4983,53080000
10,0.4,0.7,4,0,12024,54944000
10,0.5,0.7,4,0,31345,43746000
10,0.6,0.7,4,0,14470,43267000
10,0.7,0.7,4,0,40997,56709000
10,0.8,0.7,4,0,53331,64728000
10,0.9,0.7,4,0,418421,96901000
10,0.0,0.8,4,0,5457,47390000
10,0.1,0.8,4,0,11151,47159000
10,0.2,0.8,4,0,21341,48759000
10,0.3,0.8,4,0,23864,59193000
10,0.4,0.8,4,0,18203,52444000
10,0.5,0.8,4,0,22516,48553000
10,0.6,0.8,4,0,23129,49831000
10,0.7,0.8,4,0,93892,67425000
10,0.8,0.8,4,0,153763,71094000
10,0.9,0.8,4,0,860496,121306000
10,0.0,0.9,4,0,18488,49198000
10,0.1,0.9,4,0,44317,64020000
10,0.2,0.9,4,0,48790,66204000
10,0.3,0.9,4,0,50092,61109000
10,0.4,0.9,4,0,47892,56505000
10,0.5,0.9,4,0,119493,73088000
10,0.6,0.9,4,0,226996,107249000
10,0.7,0.9,4,0,141768,75313000
10,0.8,0.9,4,0,873917,136267000
10,0.9,0.9,4,0,1538384,148920000
10,0.0,0.0,5,0,445,40159000
10,0.1,0.0,5,0,1113,40537000
10,0.2,0.0,5,0,1561,39645000
10,0.3,0.0,5,0,1373,39367000
10,0.4,0.0,5,0,1621,42097000
10,0.5,0.0,5,0,919,40400000
10,0.6,0.0,5,0,1232,34904000
10,0.7,0.0,5,0,6856,46058000
10,0.8,0.0,5,0,6234,38447000
10,0.9,0.0,5,0,19544,41041000
10,0.0,0.1,5,0,830,38490000
10,0.1,0.1,5,0,1589,37299000
10,0.2,0.1,5,0,1626,40050000
10,0.3,0.1,5,0,1900,41261000
10,0.4,0.1,5,0,2022,40080000
10,0.5,0.1,5,0,2383,39396000
10,0.6,0.1,5,0,5697,48116000
10,0.7,0.1,5,0,4738,38598000
10,0.8,0.1,5,0,14003,43768000
10,0.9,0.1,5,0,29156,43487000
10,0.0,0.2,5,0,1394,37010000
10,0.1,0.2,5,0,2477,36566000
10,0.2,0.2,5,0,1246,38713000
10,0.3,0.2,5,0,988,41405000
10,0.4,0.2,5,0,1749,49433000
10,0.5,0.2,5,0,2161,42647000
10,0.6,0.2,5,0,5823,40700000
10,0.7,0.2,5,0,4920,43784000
10,0.8,0.2,5,0,16817,41236000
10,0.9,0.2,5,0,27902,43809000
10,0.0,0.3,5,0,1729,38764000
10,0.1,0.3,5,0,2105,37990000
10,0.2,0.3,5,0,1214,37370000
10,0.3,0.3,5,0,1214,40009000
10,0.4,0.3,5,0,2790,37318000
10,0.5,0.3,5,0,3899,39290000
10,0.6,0.3,5,0,4428,38940000
10,0.7,0.3,5,0,6550,38973000
10,0.8,0.3,5,0,15467,41839000
10,0.9,0.3,5,0,40278,48878000
10,0.0,0.4,5,0,1432,44445000
10,0.1,0.4,5,0,1523,43907000
10,0.2,0.4,5,0,1589,45414000
10,0.3,0.4,5,0,1696,37341000
10,0.4,0.4,5,0,3812,37263000
10,0.5,0.4,5,0,2630,42550000
10,0.6,0.4,5,0,5925,42120000
10,0.7,0.4,5,0,8355,41136000
10,0.8,0.4,5,0,46327,43879000
10,0.9,0.4,5,0,60713,52068000
10,0.0,0.5,5,0,2590,40220000
10,0.1,0.5,5,0,2035,39341000
10,0.2,0.5,5,0,2862,41088000
10,0.3,0.5,5,0,4763,38495000
10,0.4,0.5,5,0,4035,42011000
10,0.5,0.5,5,0,6567,43817000
10,0.6,0.5,5,0,11055,45415000
10,0.7,0.5,5,0,35365,45905000
10,0.8,0.5,5,0,25417,44874000
10,0.9,0.5,5,0,81832,57127000
10,0.0,0.6,5,0,2877,37209000
10,0.1,0.6,5,0,1893,36261000
10,0.2,0.6,5,0,2572,35718000
10,0.3,0.6,5,0,4184,49791000
10,0.4,0.6,5,0,5485,40023000
10,0.5,0.6,5,0,5869,39303000
10,0.6,0.6,5,0,14755,48786000
10,0.7,0.6,5,0,36991,46833000
10,0.8,0.6,5,0,41067,56677000
10,0.9,0.6,5,0,464394,81230000
10,0.0,0.7,5,0,6780,38806000
10,0.1,0.7,5,0,6461,40149000
10,0.2,0.7,5,0,7868,47827000
10,0.3,0.7,5,0,6587,44752000
10,0.4,0.7,5,0,9992,43716000
10,0.5,0.7,5,0,10324,48210000
10,0.6,0.7,5,0,25570,51555000
10,0.7,0.7,5,0,14156,43104000
10,0.8,0.7,5,0,65287,54017000
10,0.9,0.7,5,0,235252,82823000
10,0.0,0.8,5,0,12445,46552000
10,0.1,0.8,5,0,11246,44075000
10,0.2,0.8,5,0,11747,42492000
10,0.3,0.8,5,0,10128,39857000
10,0.4,0.8,5,0,23922,47195000
10,0.5,0.8,5,0,31607,49833000
10,0.6,0.8,5,0,44591,53150000
10,0.7,0.8,5,0,116844,61855000
10,0.8,0.8,5,0,198274,88022000
10,0.9,0.8,5,0,278486,84434000
10,0.0,0.9,5,0,27580,55770000
10,0.1,0.9,5,0,26616,50723000
10,0.2,0.9,5,0,34164,53382000
10,0.3,0.9,5,0,33039,56826000
10,0.4,0.9,5,0,50379,55023000
10,0.5,0.9,5,0,46183,53741000
10,0.6,0.9,5,0,135333,75497000
10,0.7,0.9,5,0,161989,77293000
10,0.8,0.9,5,0,566113,121704000
10,0.9,0.9,5,0,2374998,143152000
10,0.0,0.0,6,0,528,41878000
10,0.1,0.0,6,0,1325,39650000
10,0.2,0.0,6,0,1486,36094000
10,0.3,0.0,6,0,2277,39944000
10,0.4,0.0,6,0,2295,37858000
